time,open,high,low,close,Volume,Volume MA
5/22/2009,87.28,87.28,87.28,87.28,NaN,NaN
5/26/2009,91.23,91.23,91.23,91.23,NaN,NaN
5/27/2009,90.86,90.86,90.86,90.86,NaN,NaN
5/28/2009,88.19,88.19,88.19,88.19,NaN,NaN
5/29/2009,83.91,83.91,83.91,83.91,NaN,NaN
6/1/2009,84.23,84.23,84.23,84.23,NaN,NaN
6/2/2009,83.82,83.82,83.82,83.82,NaN,NaN
6/3/2009,84.89,84.89,84.89,84.89,NaN,NaN
6/4/2009,81.26,81.26,81.26,81.26,NaN,NaN
6/5/2009,82.11,82.11,82.11,82.11,NaN,NaN
6/8/2009,82.69,82.69,82.69,82.69,NaN,NaN
6/9/2009,81.64,81.64,81.64,81.64,NaN,NaN
6/10/2009,86.92,86.92,86.92,86.92,NaN,NaN
6/11/2009,85.22,85.22,85.22,85.22,NaN,NaN
6/12/2009,85.43,85.43,85.43,85.43,NaN,NaN
6/15/2009,85.05,85.05,85.05,85.05,NaN,NaN
