time,open,high,low,close,Volume,Volume MA
2013-04-22,2.322,2.682,1.026,1.08,NaN,NaN
2013-04-23,0.565,1.175,0.565,0.913,NaN,NaN
2013-04-24,1.033,1.397,0.688,0.735,NaN,NaN
2013-04-25,1.033,3.449,0.688,1.112,NaN,NaN
2013-04-26,0.782,1.536,0.738,1.018,NaN,NaN
2013-04-29,0.764,1.03,0.753,1.01,NaN,NaN
2013-04-30,0.889,0.889,0.498,0.816,NaN,NaN
2013-05-01,1.654,2.084,0.686,1.091,NaN,NaN
2013-05-02,0.267,1.072,0.267,0.978,NaN,NaN
2013-05-03,0.626,0.949,0.589,0.904,NaN,NaN
2013-05-06,0.58,1.228,0.58,0.77,NaN,NaN
2013-05-07,0.51,0.943,0.51,0.926,NaN,NaN
2013-05-08,0.408,0.859,0.408,0.851,NaN,NaN
2013-05-09,0.763,1.286,0.763,0.96,NaN,NaN
2013-05-10,0.992,1.441,0.487,0.649,NaN,NaN
2013-05-13,0.915,1.022,0.614,0.925,NaN,NaN
2013-05-14,0.73,0.984,0.583,0.902,NaN,NaN
2013-05-15,0.521,0.858,0.485,0.665,NaN,NaN
2013-05-16,1.08,1.789,1.028,1.271,NaN,NaN
2013-05-17,1.272,1.292,0.634,0.904,NaN,NaN
2013-05-20,0.741,0.862,0.602,0.859,NaN,NaN
2013-05-21,1.298,1.462,0.638,0.941,NaN,NaN
2013-05-22,1.74,1.773,0.66,0.957,NaN,NaN
2013-05-23,1.298,1.461,0.769,0.92,NaN,NaN
2013-05-24,1.875,1.952,1.29,1.585,NaN,NaN
2013-05-28,0.667,1.942,0.632,1.037,NaN,NaN
2013-05-29,0.573,0.798,0.373,0.73,NaN,NaN
2013-05-30,0.712,0.983,0.67,0.885,NaN,NaN
2013-05-31,1.318,1.69,1.254,1.309,NaN,NaN
2013-06-03,0.986,1.026,0.71,0.869,NaN,NaN
2013-06-04,1.181,1.378,1.039,1.306,NaN,NaN
2013-06-05,1.188,1.23,0.555,1.173,NaN,NaN
2013-06-06,1.684,1.696,1.354,1.369,NaN,NaN
2013-06-07,0.815,1.293,0.631,1.147,NaN,NaN
2013-06-10,0.882,1.064,0.704,1.058,NaN,NaN
2013-06-11,0.858,1.036,0.54,0.861,NaN,NaN
2013-06-12,1.338,1.411,0.73,1.113,NaN,NaN
2013-06-13,1.07,1.384,1.003,1.116,NaN,NaN
2013-06-14,1.168,1.386,0.705,1.264,NaN,NaN
2013-06-17,1.545,1.896,0.799,1.014,NaN,NaN
2013-06-18,2.086,2.086,0.79,0.811,NaN,NaN
2013-06-19,2.276,2.276,0.759,1.086,NaN,NaN
2013-06-20,1.274,1.347,1.051,1.318,NaN,NaN
